ref	query	dist	is_rc
2	0	1	False
2	8	1	False
20	22	1	False
1	3	1	False
9	18	1	False
21	6	1	False
15	13	1	False
4	7	1	False
5	9	1	False
7	9	1	False
12	9	1	False
16	17	1	False
10	7	1	False
9	7	1	False
6	7	1	False
13	15	1	False
3	11	1	False
17	16	1	False
4	16	1	False
15	9	1	False
11	3	1	False
5	6	1	False
18	9	1	False
6	5	1	False
7	6	1	False
21	4	1	False
17	4	1	False
16	4	1	False
6	21	1	False
7	4	1	False
4	21	1	False
9	5	1	False
4	15	1	False
9	15	1	False
7	10	1	False
9	12	1	False
8	2	1	False
0	2	1	False
3	1	1	False
22	20	1	False
15	4	1	False
4	17	1	False
20	15	2	False
15	24	2	False
18	15	2	False
17	15	2	False
21	15	2	False
9	6	2	False
13	9	2	False
10	9	2	False
4	9	2	False
6	9	2	False
21	16	2	False
5	7	2	False
12	7	2	False
15	17	2	False
4	13	2	False
12	18	2	False
15	18	2	False
5	18	2	False
11	1	2	False
9	13	2	False
7	18	2	False
8	0	2	False
7	5	2	False
4	10	2	False
24	15	2	False
22	4	2	False
21	5	2	False
4	6	2	False
10	19	2	False
15	16	2	False
15	5	2	False
18	5	2	False
10	6	2	False
15	21	2	False
16	21	2	False
17	21	2	False
4	22	2	False
1	11	2	False
16	15	2	False
15	20	2	False
10	4	2	False
9	4	2	False
5	21	2	False
12	5	2	False
7	21	2	False
13	4	2	False
9	10	2	False
6	10	2	False
12	15	2	False
7	15	2	False
5	15	2	False
19	10	2	False
5	12	2	False
6	4	2	False
7	12	2	False
15	12	2	False
18	12	2	False
21	17	2	False
7	17	2	False
7	16	2	False
15	7	2	False
16	7	2	False
17	7	2	False
18	7	2	False
21	7	2	False
0	8	2	False
19	7	3	False
22	7	3	False
10	16	3	False
9	16	3	False
22	17	3	False
4	18	3	False
6	16	3	False
6	17	3	False
9	17	3	False
6	12	3	False
14	12	3	False
13	12	3	False
10	12	3	False
10	17	3	False
4	2	3	False
21	22	3	False
10	15	3	False
5	10	3	False
15	10	3	False
5	4	3	False
4	2	3	False
18	10	3	False
17	10	3	False
16	10	3	False
6	15	3	False
21	10	3	False
12	14	3	False
12	10	3	False
13	20	3	False
18	4	3	False
20	4	3	False
9	20	3	False
4	5	3	False
14	9	3	False
16	9	3	False
17	9	3	False
13	5	3	False
21	9	3	False
24	9	3	False
10	21	3	False
12	4	3	False
9	21	3	False
7	19	3	False
4	19	3	False
20	9	3	False
13	16	3	False
22	15	3	False
24	4	3	False
10	5	3	False
19	4	3	False
17	6	3	False
18	6	3	False
13	7	3	False
13	17	3	False
21	13	3	False
12	6	3	False
17	13	3	False
18	13	3	False
13	21	3	False
20	13	3	False
24	13	3	False
22	21	3	False
9	14	3	False
4	20	3	False
4	12	3	False
16	13	3	False
15	22	3	False
16	22	3	False
17	22	3	False
22	16	3	False
5	13	3	False
7	22	3	False
7	13	3	False
9	24	3	False
12	13	3	False
4	24	3	False
13	24	3	False
6	18	3	False
10	18	3	False
13	18	3	False
15	6	3	False
16	6	3	False
16	8	4	False
11	8	4	False
14	7	4	False
12	17	4	False
4	8	4	False
5	20	4	False
15	0	4	False
24	14	4	False
22	9	4	False
15	19	4	False
16	20	4	False
15	14	4	False
7	20	4	False
18	14	4	False
17	19	4	False
18	16	4	False
23	18	4	False
24	5	4	False
6	19	4	False
24	18	4	False
17	5	4	False
16	5	4	False
12	21	4	False
12	20	4	False
19	9	4	False
18	20	4	False
9	19	4	False
21	20	4	False
16	24	4	False
0	1	4	False
3	2	4	False
18	24	4	False
4	0	4	False
21	24	4	False
4	0	4	False
13	10	4	False
5	17	4	False
16	12	4	False
16	8	4	False
24	7	4	False
17	24	4	False
24	20	4	False
17	12	4	False
5	16	4	False
24	17	4	False
20	7	4	False
14	24	4	False
6	13	4	False
4	8	4	False
1	0	4	False
5	24	4	False
12	24	4	False
7	24	4	False
10	24	4	False
18	23	4	False
10	13	4	False
15	0	4	False
20	24	4	False
6	22	4	False
10	22	4	False
13	22	4	False
9	22	4	False
24	12	4	False
21	12	4	False
20	12	4	False
2	3	4	False
22	13	4	False
7	14	4	False
24	21	4	False
24	10	4	False
13	6	4	False
18	21	4	False
20	21	4	False
21	19	4	False
17	20	4	False
12	16	4	False
16	19	4	False
20	5	4	False
20	18	4	False
21	18	4	False
14	18	4	False
20	17	4	False
16	18	4	False
17	18	4	False
22	6	4	False
19	6	4	False
22	10	4	False
18	17	4	False
14	15	4	False
19	16	4	False
19	17	4	False
20	16	4	False
19	15	4	False
24	16	4	False
5	14	4	False
19	21	4	False
8	11	4	False
14	5	4	False
20	10	5	False
2	1	5	False
4	14	5	False
7	2	5	False
1	2	5	False
15	1	5	False
14	1	5	False
24	22	5	False
17	8	5	False
17	8	5	False
9	23	5	False
19	12	5	False
18	19	5	False
22	5	5	False
19	5	5	False
5	19	5	False
22	18	5	False
16	2	5	False
13	19	5	False
23	9	5	False
15	2	5	False
15	1	5	False
6	20	5	False
10	20	5	False
14	4	5	False
21	2	5	False
14	10	5	False
13	14	5	False
6	14	5	False
19	22	5	False
19	18	5	False
20	6	5	False
7	2	5	False
24	6	5	False
12	19	5	False
9	1	5	False
14	6	5	False
10	14	5	False
24	19	5	False
2	11	5	False
22	19	5	False
8	3	5	False
19	13	5	False
14	1	5	False
0	3	5	False
22	24	5	False
3	8	5	False
22	12	5	False
5	22	5	False
17	2	5	False
17	2	5	False
21	2	5	False
12	22	5	False
14	13	5	False
18	22	5	False
11	2	5	False
15	2	5	False
16	2	5	False
19	24	5	False
9	1	5	False
6	24	5	False
3	0	5	False
7	23	6	False
5	23	6	False
15	23	6	False
16	23	6	False
8	1	6	False
23	16	6	False
17	0	6	False
23	7	6	False
1	8	6	False
21	8	6	False
15	8	6	False
14	21	6	False
4	3	6	False
7	3	6	False
9	3	6	False
12	1	6	False
20	14	6	False
21	14	6	False
15	3	6	False
15	8	6	False
16	14	6	False
17	14	6	False
0	11	6	False
14	3	6	False
15	3	6	False
23	15	6	False
16	0	6	False
19	20	6	False
14	20	6	False
21	8	6	False
4	3	6	False
21	0	6	False
14	16	6	False
23	5	6	False
20	19	6	False
7	8	6	False
14	17	6	False
7	8	6	False
7	0	6	False
7	3	6	False
9	0	6	False
9	3	6	False
17	0	6	False
21	0	6	False
9	0	6	False
11	0	6	False
13	0	6	False
16	0	6	False
7	0	6	False
12	1	6	False
13	0	6	False
