ref	query	dist	is_rc
2	10	1	False
14	27	1	False
18	9	1	False
26	1	1	False
1	2	1	False
6	2	1	False
8	2	1	False
9	2	1	False
10	2	1	False
10	24	1	False
2	8	1	False
4	8	1	False
18	12	1	False
23	5	1	False
12	18	1	False
1	18	1	False
25	4	1	False
27	4	1	False
1	5	1	False
1	19	1	False
6	19	1	False
21	20	1	False
8	4	1	False
12	4	1	False
21	4	1	False
23	19	1	False
1	20	1	False
25	21	1	False
1	4	1	False
26	20	1	False
4	21	1	False
9	18	1	False
2	6	1	False
9	17	1	False
1	14	1	False
1	3	1	False
6	22	1	False
8	22	1	False
20	21	1	False
19	6	1	False
22	6	1	False
1	16	1	False
4	12	1	False
8	24	1	False
5	23	1	False
19	23	1	False
27	14	1	False
1	15	1	False
17	9	1	False
14	1	1	False
15	1	1	False
16	1	1	False
18	1	1	False
19	1	1	False
20	1	1	False
21	25	1	False
26	25	1	False
1	26	1	False
4	25	1	False
22	8	1	False
24	8	1	False
24	10	1	False
9	10	1	False
2	1	1	False
3	1	1	False
4	1	1	False
5	1	1	False
20	26	1	False
25	26	1	False
4	27	1	False
2	9	1	False
10	9	1	False
18	10	2	False
27	8	2	False
1	9	2	False
6	9	2	False
8	9	2	False
12	9	2	False
5	26	2	False
14	26	2	False
15	26	2	False
16	26	2	False
18	26	2	False
19	26	2	False
8	1	2	False
17	10	2	False
6	1	2	False
21	26	2	False
1	27	2	False
8	27	2	False
4	26	2	False
14	19	2	False
15	19	2	False
16	19	2	False
7	0	2	False
25	8	2	False
7	11	2	False
6	10	2	False
8	10	2	False
2	26	2	False
3	26	2	False
1	25	2	False
9	12	2	False
12	8	2	False
21	8	2	False
21	1	2	False
23	1	2	False
20	25	2	False
27	25	2	False
9	1	2	False
10	1	2	False
12	1	2	False
4	15	2	False
5	15	2	False
11	7	2	False
15	14	2	False
16	14	2	False
18	14	2	False
19	14	2	False
20	14	2	False
6	23	2	False
19	22	2	False
24	22	2	False
2	15	2	False
3	15	2	False
17	2	2	False
18	2	2	False
19	2	2	False
20	2	2	False
22	2	2	False
24	2	2	False
26	2	2	False
1	12	2	False
8	12	2	False
9	24	2	False
14	2	2	False
15	2	2	False
16	2	2	False
0	7	2	False
14	15	2	False
16	15	2	False
18	15	2	False
19	15	2	False
20	15	2	False
26	15	2	False
12	21	2	False
14	16	2	False
15	16	2	False
18	16	2	False
23	6	2	False
5	3	2	False
14	3	2	False
15	3	2	False
16	3	2	False
2	22	2	False
4	22	2	False
2	14	2	False
3	14	2	False
4	14	2	False
1	23	2	False
2	3	2	False
4	3	2	False
10	17	2	False
18	17	2	False
19	16	2	False
20	16	2	False
26	16	2	False
2	17	2	False
2	16	2	False
8	21	2	False
10	18	2	False
1	6	2	False
8	6	2	False
9	6	2	False
10	6	2	False
2	4	2	False
3	4	2	False
5	4	2	False
25	20	2	False
1	21	2	False
26	14	2	False
26	21	2	False
27	21	2	False
18	3	2	False
19	3	2	False
20	3	2	False
26	3	2	False
2	20	2	False
3	20	2	False
14	5	2	False
15	5	2	False
16	5	2	False
18	5	2	False
19	5	2	False
20	4	2	False
22	4	2	False
18	19	2	False
20	19	2	False
22	19	2	False
26	19	2	False
14	4	2	False
15	4	2	False
16	4	2	False
18	4	2	False
19	4	2	False
3	16	2	False
4	16	2	False
5	16	2	False
14	20	2	False
15	20	2	False
16	20	2	False
18	20	2	False
19	20	2	False
3	5	2	False
4	5	2	False
2	19	2	False
3	19	2	False
4	19	2	False
5	19	2	False
4	20	2	False
5	20	2	False
24	4	2	False
26	4	2	False
2	5	2	False
19	18	2	False
20	18	2	False
26	18	2	False
2	18	2	False
3	18	2	False
4	18	2	False
5	18	2	False
20	5	2	False
26	5	2	False
14	18	2	False
15	18	2	False
16	18	2	False
17	18	2	False
9	8	2	False
10	8	2	False
10	13	2	False
21	12	2	False
24	12	2	False
25	12	2	False
27	12	2	False
22	24	2	False
2	24	2	False
4	24	2	False
5	14	2	False
1	8	2	False
6	8	2	False
4	2	2	False
5	2	2	False
12	24	2	False
13	10	2	False
8	25	2	False
12	25	2	False
25	1	2	False
27	1	2	False
3	2	2	False
12	27	2	False
24	9	2	False
1	10	2	False
25	27	2	False
21	27	2	False
22	9	3	False
26	9	3	False
3	10	3	False
4	0	3	False
5	0	3	False
13	9	3	False
14	9	3	False
15	9	3	False
16	9	3	False
19	9	3	False
20	9	3	False
3	9	3	False
4	9	3	False
5	9	3	False
15	10	3	False
16	10	3	False
19	10	3	False
20	10	3	False
10	26	3	False
12	26	3	False
5	27	3	False
6	26	3	False
8	26	3	False
9	26	3	False
23	26	3	False
27	26	3	False
27	0	3	False
2	27	3	False
3	27	3	False
1	7	3	False
8	19	3	False
9	19	3	False
10	19	3	False
12	19	3	False
12	5	3	False
10	5	3	False
5	11	3	False
6	5	3	False
5	7	3	False
8	5	3	False
9	5	3	False
23	4	3	False
5	0	3	False
24	17	3	False
6	18	3	False
8	18	3	False
21	18	3	False
23	18	3	False
24	18	3	False
25	18	3	False
27	18	3	False
25	5	3	False
27	5	3	False
21	5	3	False
25	19	3	False
27	19	3	False
21	19	3	False
9	4	3	False
10	4	3	False
20	11	3	False
12	20	3	False
13	20	3	False
27	16	3	False
1	17	3	False
6	17	3	False
12	17	3	False
21	16	3	False
23	16	3	False
25	16	3	False
14	6	3	False
15	6	3	False
16	6	3	False
8	17	3	False
3	6	3	False
4	6	3	False
5	6	3	False
3	21	3	False
5	21	3	False
6	20	3	False
8	20	3	False
9	20	3	False
10	20	3	False
6	4	3	False
23	20	3	False
27	20	3	False
2	21	3	False
23	3	3	False
25	3	3	False
27	3	3	False
4	0	3	False
24	21	3	False
21	3	3	False
21	15	3	False
23	15	3	False
25	15	3	False
27	15	3	False
25	14	3	False
1	7	3	False
2	7	3	False
17	6	3	False
18	6	3	False
20	6	3	False
24	6	3	False
26	6	3	False
6	16	3	False
8	16	3	False
9	16	3	False
10	16	3	False
12	16	3	False
14	21	3	False
15	21	3	False
16	21	3	False
18	21	3	False
19	21	3	False
22	21	3	False
1	22	3	False
9	22	3	False
10	22	3	False
12	22	3	False
6	3	3	False
8	3	3	False
9	3	3	False
10	3	3	False
12	3	3	False
2	23	3	False
3	23	3	False
4	23	3	False
23	14	3	False
20	13	3	False
24	13	3	False
14	0	3	False
10	14	3	False
12	14	3	False
21	14	3	False
9	15	3	False
10	15	3	False
12	15	3	False
5	7	3	False
14	7	3	False
8	14	3	False
9	14	3	False
6	15	3	False
8	15	3	False
20	23	3	False
21	22	3	False
23	22	3	False
25	22	3	False
27	22	3	False
27	2	3	False
14	23	3	False
15	23	3	False
16	23	3	False
18	23	3	False
21	2	3	False
23	2	3	False
25	2	3	False
6	24	3	False
13	2	3	False
2	13	3	False
2	12	3	False
3	12	3	False
5	12	3	False
19	12	3	False
20	12	3	False
22	12	3	False
26	12	3	False
9	13	3	False
15	12	3	False
16	12	3	False
17	12	3	False
6	14	3	False
14	7	3	False
3	8	3	False
5	8	3	False
21	24	3	False
25	24	3	False
22	23	3	False
26	23	3	False
1	24	3	False
2	11	3	False
12	2	3	False
13	24	3	False
17	24	3	False
18	24	3	False
2	7	3	False
5	25	3	False
14	25	3	False
24	1	3	False
4	10	3	False
5	10	3	False
12	10	3	False
14	10	3	False
20	11	3	False
22	10	3	False
26	10	3	False
1	11	3	False
2	11	3	False
5	11	3	False
18	8	3	False
19	8	3	False
20	8	3	False
26	8	3	False
10	12	3	False
14	12	3	False
14	8	3	False
15	8	3	False
16	8	3	False
17	8	3	False
27	24	3	False
2	25	3	False
3	25	3	False
18	25	3	False
19	25	3	False
22	25	3	False
24	25	3	False
22	1	3	False
15	25	3	False
16	25	3	False
1	11	3	False
17	1	3	False
14	0	3	False
1	0	3	False
27	0	3	False
15	27	3	False
16	27	3	False
18	27	3	False
19	27	3	False
20	27	3	False
26	27	3	False
22	27	3	False
24	27	3	False
1	0	3	False
22	26	4	False
22	14	4	False
24	14	4	False
17	14	4	False
24	26	4	False
6	27	4	False
11	0	4	False
23	9	4	False
13	1	4	False
17	26	4	False
13	26	4	False
26	11	4	False
6	25	4	False
25	9	4	False
27	9	4	False
21	9	4	False
23	27	4	False
14	22	4	False
15	22	4	False
5	22	4	False
17	15	4	False
8	13	4	False
6	13	4	False
17	16	4	False
19	13	4	False
24	16	4	False
22	16	4	False
20	17	4	False
25	6	4	False
27	6	4	False
21	6	4	False
16	22	4	False
17	22	4	False
18	22	4	False
9	23	4	False
13	6	4	False
26	11	4	False
1	13	4	False
23	12	4	False
19	17	4	False
13	17	4	False
14	17	4	False
22	17	4	False
15	17	4	False
16	17	4	False
22	15	4	False
24	15	4	False
3	22	4	False
25	10	4	False
27	10	4	False
0	11	4	False
21	10	4	False
23	10	4	False
13	21	4	False
26	22	4	False
20	22	4	False
12	23	4	False
8	23	4	False
17	3	4	False
23	8	4	False
17	4	4	False
26	17	4	False
22	18	4	False
13	18	4	False
24	5	4	False
13	19	4	False
13	8	4	False
6	12	4	False
22	20	4	False
17	20	4	False
24	19	4	False
17	19	4	False
17	5	4	False
17	13	4	False
18	13	4	False
3	17	4	False
4	17	4	False
5	17	4	False
9	21	4	False
10	21	4	False
6	21	4	False
24	20	4	False
22	3	4	False
24	3	4	False
23	21	4	False
22	5	4	False
12	6	4	False
26	13	4	False
21	13	4	False
23	25	4	False
10	23	4	False
3	24	4	False
5	24	4	False
27	23	4	False
20	24	4	False
14	24	4	False
15	24	4	False
16	24	4	False
9	25	4	False
10	25	4	False
21	23	4	False
25	23	4	False
26	24	4	False
19	24	4	False
9	27	4	False
10	27	4	False
25	0	5	False
15	0	5	False
24	23	5	False
16	0	5	False
23	24	5	False
3	0	5	False
9	11	5	False
9	7	5	False
10	11	5	False
16	7	5	False
13	25	5	False
2	0	5	False
17	25	5	False
26	0	5	False
25	0	5	False
6	7	5	False
22	13	5	False
10	7	5	False
15	7	5	False
17	21	5	False
20	7	5	False
6	7	5	False
25	13	5	False
6	11	5	False
23	7	5	False
8	0	5	False
27	7	5	False
26	7	5	False
15	7	5	False
15	11	5	False
9	7	5	False
8	7	5	False
19	11	5	False
18	11	5	False
21	11	5	False
4	7	5	False
21	0	5	False
23	11	5	False
9	11	5	False
18	11	5	False
18	7	5	False
21	11	5	False
