ref	query	dist	is_rc
1	0	1	False
25	26	1	False
1	14	1	False
9	14	1	False
13	2	1	False
5	16	1	False
10	16	1	False
0	8	1	False
0	1	1	False
16	10	1	False
6	18	1	False
10	18	1	False
0	19	1	False
5	7	1	False
0	7	1	False
21	0	1	False
10	1	1	False
0	9	1	False
10	2	1	False
14	1	1	False
18	10	1	False
24	1	1	False
3	2	1	False
23	1	1	False
3	11	1	False
2	10	1	False
0	12	1	False
18	6	1	False
1	10	1	False
5	2	1	False
11	3	1	False
19	12	1	False
6	2	1	False
0	13	1	False
2	13	1	False
14	9	1	False
20	1	1	False
12	19	1	False
26	25	1	False
19	0	1	False
2	0	1	False
1	24	1	False
6	3	1	False
6	4	1	False
1	23	1	False
7	0	1	False
2	5	1	False
8	0	1	False
20	21	1	False
9	0	1	False
2	3	1	False
12	0	1	False
13	0	1	False
16	5	1	False
0	21	1	False
7	5	1	False
0	2	1	False
2	6	1	False
21	20	1	False
4	6	1	False
3	6	1	False
1	20	1	False
19	9	2	False
8	7	2	False
5	6	2	False
0	5	2	False
21	9	2	False
18	4	2	False
0	10	2	False
1	7	2	False
17	9	2	False
3	4	2	False
2	4	2	False
18	3	2	False
10	6	2	False
11	6	2	False
3	10	2	False
5	10	2	False
6	10	2	False
13	3	2	False
2	7	2	False
9	7	2	False
21	7	2	False
3	5	2	False
1	8	2	False
0	6	2	False
2	8	2	False
7	8	2	False
9	8	2	False
12	8	2	False
13	8	2	False
19	8	2	False
16	7	2	False
21	8	2	False
13	5	2	False
13	7	2	False
10	5	2	False
13	6	2	False
6	5	2	False
1	9	2	False
2	9	2	False
12	7	2	False
7	9	2	False
8	9	2	False
12	9	2	False
19	7	2	False
13	9	2	False
13	12	2	False
14	10	2	False
23	20	2	False
14	20	2	False
10	20	2	False
0	20	2	False
21	19	2	False
13	19	2	False
24	20	2	False
9	19	2	False
7	19	2	False
2	19	2	False
1	19	2	False
16	18	2	False
4	18	2	False
3	18	2	False
8	19	2	False
2	18	2	False
1	21	2	False
7	21	2	False
10	24	2	False
0	24	2	False
24	23	2	False
20	23	2	False
14	23	2	False
10	23	2	False
2	21	2	False
0	23	2	False
23	24	2	False
19	21	2	False
13	21	2	False
12	21	2	False
9	21	2	False
8	21	2	False
20	24	2	False
13	10	2	False
1	18	2	False
9	17	2	False
6	13	2	False
5	13	2	False
3	13	2	False
1	13	2	False
21	12	2	False
9	12	2	False
7	13	2	False
8	12	2	False
1	12	2	False
6	11	2	False
2	11	2	False
24	10	2	False
23	10	2	False
20	10	2	False
2	12	2	False
27	25	2	False
8	13	2	False
10	13	2	False
0	17	2	False
18	16	2	False
7	16	2	False
2	16	2	False
1	16	2	False
1	15	2	False
9	13	2	False
24	14	2	False
20	14	2	False
10	14	2	False
0	14	2	False
21	13	2	False
19	13	2	False
12	13	2	False
23	14	2	False
10	3	2	False
7	12	2	False
14	24	2	False
11	2	2	False
23	0	2	False
10	0	2	False
13	1	2	False
9	2	2	False
15	1	2	False
8	2	2	False
7	2	2	False
14	0	2	False
12	2	2	False
2	1	2	False
4	2	2	False
1	2	2	False
17	0	2	False
25	27	2	False
18	1	2	False
5	3	2	False
19	1	2	False
24	0	2	False
20	0	2	False
16	1	2	False
6	0	2	False
12	1	2	False
21	1	2	False
3	0	2	False
21	2	2	False
18	2	2	False
7	1	2	False
0	3	2	False
5	0	2	False
19	2	2	False
4	3	2	False
9	1	2	False
8	1	2	False
16	2	2	False
13	14	3	False
17	12	3	False
15	14	3	False
20	12	3	False
10	12	3	False
16	14	3	False
6	12	3	False
5	12	3	False
3	12	3	False
14	12	3	False
12	14	3	False
20	13	3	False
24	12	3	False
18	13	3	False
4	13	3	False
8	14	3	False
7	14	3	False
2	14	3	False
26	27	3	False
11	13	3	False
24	13	3	False
23	13	3	False
14	13	3	False
16	13	3	False
17	13	3	False
23	12	3	False
17	1	3	False
21	10	3	False
18	11	3	False
23	8	3	False
20	8	3	False
17	8	3	False
14	8	3	False
14	2	3	False
10	8	3	False
6	8	3	False
5	8	3	False
24	8	3	False
3	8	3	False
24	7	3	False
23	7	3	False
20	7	3	False
17	7	3	False
14	7	3	False
10	7	3	False
20	2	3	False
6	7	3	False
17	2	3	False
27	26	3	False
3	9	3	False
5	9	3	False
13	11	3	False
10	11	3	False
5	11	3	False
4	11	3	False
0	11	3	False
17	14	3	False
19	10	3	False
15	10	3	False
12	10	3	False
11	10	3	False
9	10	3	False
8	10	3	False
7	10	3	False
4	10	3	False
24	9	3	False
23	9	3	False
20	9	3	False
10	9	3	False
6	9	3	False
24	11	3	False
18	14	3	False
14	15	3	False
21	14	3	False
24	21	3	False
23	21	3	False
17	21	3	False
14	21	3	False
10	21	3	False
11	0	3	False
6	21	3	False
5	21	3	False
3	21	3	False
15	0	3	False
16	0	3	False
19	20	3	False
18	20	3	False
16	20	3	False
15	20	3	False
13	20	3	False
12	20	3	False
9	20	3	False
8	20	3	False
21	24	3	False
19	24	3	False
18	24	3	False
2	23	3	False
13	24	3	False
12	24	3	False
11	24	3	False
9	24	3	False
8	24	3	False
7	24	3	False
2	24	3	False
15	24	3	False
16	24	3	False
7	20	3	False
21	23	3	False
19	23	3	False
18	23	3	False
16	23	3	False
15	23	3	False
13	23	3	False
12	23	3	False
9	23	3	False
8	23	3	False
7	23	3	False
4	0	3	False
2	20	3	False
18	0	3	False
24	19	3	False
