ref	query	dist	is_rc
25	26	1	False
26	25	1	False
22	24	1	False
19	1	1	False
26	14	1	False
2	15	1	False
16	14	1	False
23	12	1	False
7	12	1	False
19	24	1	False
14	16	1	False
7	18	1	False
25	16	1	False
18	23	1	False
5	3	1	False
15	2	1	False
25	17	1	False
8	10	1	False
12	23	1	False
23	18	1	False
1	19	1	False
17	25	1	False
16	25	1	False
4	6	1	False
12	7	1	False
18	7	1	False
3	5	1	False
20	21	1	False
6	4	1	False
24	19	1	False
10	8	1	False
24	22	1	False
14	26	1	False
21	20	1	False
19	22	2	False
23	7	2	False
12	18	2	False
26	17	2	False
7	23	2	False
26	16	2	False
18	12	2	False
1	24	2	False
16	17	2	False
17	16	2	False
25	14	2	False
14	25	2	False
13	21	2	False
16	26	2	False
22	19	2	False
24	1	2	False
21	13	2	False
17	26	2	False
20	13	3	False
10	11	3	False
22	1	3	False
17	14	3	False
13	20	3	False
14	17	3	False
11	10	3	False
1	22	3	False
11	8	4	False
8	11	4	False
20	14	5	False
12	3	5	False
14	20	5	False
16	21	5	False
3	12	5	False
21	16	5	False
5	23	5	False
23	5	5	False
4	9	5	False
9	4	5	False
6	9	6	False
23	3	6	False
16	20	6	False
3	7	6	False
26	20	6	False
5	18	6	False
3	23	6	False
7	3	6	False
5	12	6	False
20	16	6	False
21	14	6	False
21	25	6	False
9	6	6	False
20	26	6	False
14	21	6	False
25	21	6	False
18	5	6	False
12	5	6	False
5	7	7	False
18	3	7	False
21	26	7	False
17	21	7	False
7	5	7	False
26	21	7	False
3	18	7	False
16	13	7	False
20	25	7	False
25	20	7	False
13	16	7	False
17	13	7	False
21	17	7	False
13	17	7	False
25	13	8	False
13	25	8	False
17	20	8	False
14	13	8	False
13	14	8	False
20	17	8	False
13	26	9	False
26	13	9	False
1	2	17	False
2	1	17	False
19	2	18	False
3	9	18	False
2	19	18	False
1	15	18	False
12	4	18	False
15	1	18	False
3	9	18	False
7	6	18	False
7	6	18	False
12	4	18	False
22	15	19	False
23	4	19	False
19	15	19	False
12	6	19	False
5	9	19	False
12	6	19	False
6	17	19	False
19	10	19	False
24	2	19	False
18	6	19	False
