ref	query	dist	is_rc
8	0	1	False
15	11	1	False
14	11	1	False
3	2	1	False
11	2	1	False
13	2	1	False
9	2	1	False
4	2	1	False
17	5	1	False
2	9	1	False
7	13	1	False
2	13	1	False
2	20	1	False
23	4	1	False
20	2	1	False
5	17	1	False
20	19	1	False
3	14	1	False
2	4	1	False
7	22	1	False
22	7	1	False
11	15	1	False
9	15	1	False
0	8	1	False
2	11	1	False
19	20	1	False
14	3	1	False
3	24	1	False
4	23	1	False
2	3	1	False
13	7	1	False
11	14	1	False
24	3	1	False
27	3	1	False
15	9	1	False
1	6	1	False
3	27	1	False
6	1	1	False
2	19	2	False
5	19	2	False
18	12	2	False
19	12	2	False
14	2	2	False
14	24	2	False
12	18	2	False
5	12	2	False
12	19	2	False
7	19	2	False
16	5	2	False
12	5	2	False
22	12	2	False
12	2	2	False
4	13	2	False
3	13	2	False
3	9	2	False
26	12	2	False
4	9	2	False
7	5	2	False
5	2	2	False
7	2	2	False
2	25	2	False
28	24	2	False
22	5	2	False
18	5	2	False
4	20	2	False
3	20	2	False
18	19	2	False
22	19	2	False
28	2	2	False
24	14	2	False
27	14	2	False
2	14	2	False
27	2	2	False
25	2	2	False
24	2	2	False
23	2	2	False
15	2	2	False
18	2	2	False
19	2	2	False
22	2	2	False
19	5	2	False
7	12	2	False
2	23	2	False
4	3	2	False
13	3	2	False
20	13	2	False
11	3	2	False
12	7	2	False
9	13	2	False
2	15	2	False
5	7	2	False
11	13	2	False
2	24	2	False
22	13	2	False
2	5	2	False
2	7	2	False
13	22	2	False
13	20	2	False
11	20	2	False
9	20	2	False
13	4	2	False
20	4	2	False
11	4	2	False
9	4	2	False
9	3	2	False
12	22	2	False
15	14	2	False
20	3	2	False
2	22	2	False
3	4	2	False
19	22	2	False
18	22	2	False
19	7	2	False
18	7	2	False
14	15	2	False
5	22	2	False
2	12	2	False
11	9	2	False
20	11	2	False
12	26	2	False
20	9	2	False
13	9	2	False
4	11	2	False
3	11	2	False
5	16	2	False
19	18	2	False
27	24	2	False
14	27	2	False
2	18	2	False
22	18	2	False
7	18	2	False
5	18	2	False
24	28	2	False
24	27	2	False
2	28	2	False
2	27	2	False
9	11	2	False
13	11	2	False
4	27	3	False
9	27	3	False
5	11	3	False
7	11	3	False
12	11	3	False
20	27	3	False
25	27	3	False
3	28	3	False
4	28	3	False
3	18	3	False
4	18	3	False
9	18	3	False
16	18	3	False
17	18	3	False
20	18	3	False
25	18	3	False
0	6	3	False
22	9	3	False
23	9	3	False
24	9	3	False
25	9	3	False
4	12	3	False
12	9	3	False
14	9	3	False
18	9	3	False
19	9	3	False
22	11	3	False
23	11	3	False
24	11	3	False
25	11	3	False
27	11	3	False
28	11	3	False
3	12	3	False
4	26	3	False
9	25	3	False
11	25	3	False
13	25	3	False
18	11	3	False
19	11	3	False
13	15	3	False
20	7	3	False
5	4	3	False
3	22	3	False
4	22	3	False
4	15	3	False
22	3	3	False
23	3	3	False
25	3	3	False
28	3	3	False
17	22	3	False
20	22	3	False
18	3	3	False
19	3	3	False
12	20	3	False
14	20	3	False
15	20	3	False
18	20	3	False
14	4	3	False
15	4	3	False
18	4	3	False
19	4	3	False
5	20	3	False
7	20	3	False
24	20	3	False
25	20	3	False
27	20	3	False
28	20	3	False
7	4	3	False
12	4	3	False
13	14	3	False
20	14	3	False
9	22	3	False
11	22	3	False
22	20	3	False
23	20	3	False
7	3	3	False
12	3	3	False
15	3	3	False
16	3	3	False
3	23	3	False
9	23	3	False
11	23	3	False
13	23	3	False
5	3	3	False
18	13	3	False
19	13	3	False
4	24	3	False
9	14	3	False
12	13	3	False
14	13	3	False
15	13	3	False
17	13	3	False
9	7	3	False
11	7	3	False
17	7	3	False
3	15	3	False
4	5	3	False
17	16	3	False
18	16	3	False
20	15	3	False
3	16	3	False
3	7	3	False
4	7	3	False
24	4	3	False
25	4	3	False
26	4	3	False
27	4	3	False
28	4	3	False
3	5	3	False
17	19	3	False
22	4	3	False
20	23	3	False
27	13	3	False
28	13	3	False
4	14	3	False
20	12	3	False
13	24	3	False
20	24	3	False
17	2	3	False
9	12	3	False
11	12	3	False
13	12	3	False
17	12	3	False
13	17	3	False
16	17	3	False
18	17	3	False
19	17	3	False
22	17	3	False
2	17	3	False
7	17	3	False
20	5	3	False
13	18	3	False
11	18	3	False
12	17	3	False
11	19	3	False
13	19	3	False
11	5	3	False
13	5	3	False
9	5	3	False
3	19	3	False
4	19	3	False
9	19	3	False
5	13	3	False
5	9	3	False
7	9	3	False
11	24	3	False
23	13	3	False
24	13	3	False
25	13	3	False
9	24	3	False
18	25	3	False
20	25	3	False
3	25	3	False
4	25	3	False
27	25	3	False
27	9	3	False
28	9	3	False
6	0	3	False
13	27	3	False
9	28	3	False
11	28	3	False
13	28	3	False
20	28	3	False
11	27	3	False
12	28	4	False
14	28	4	False
15	28	4	False
18	28	4	False
19	0	4	False
19	28	4	False
20	0	4	False
5	28	4	False
17	11	4	False
7	28	4	False
23	27	4	False
28	27	4	False
22	27	4	False
19	27	4	False
7	27	4	False
5	27	4	False
27	28	4	False
2	1	4	False
5	1	4	False
18	27	4	False
1	0	4	False
0	1	4	False
5	0	4	False
26	18	4	False
8	6	4	False
28	18	4	False
27	18	4	False
22	28	4	False
23	28	4	False
3	0	4	False
25	28	4	False
2	0	4	False
12	16	4	False
25	16	4	False
24	16	4	False
22	16	4	False
7	16	4	False
27	5	4	False
26	5	4	False
19	0	4	False
28	5	4	False
24	18	4	False
23	18	4	False
15	18	4	False
23	15	4	False
24	15	4	False
22	15	4	False
25	15	4	False
15	5	4	False
19	8	4	False
14	19	4	False
15	19	4	False
16	19	4	False
24	5	4	False
14	5	4	False
14	18	4	False
11	17	4	False
23	5	4	False
25	5	4	False
9	17	4	False
20	17	4	False
4	17	4	False
3	17	4	False
27	16	4	False
23	14	4	False
26	7	4	False
20	8	4	False
17	4	4	False
19	14	4	False
22	14	4	False
18	14	4	False
16	14	4	False
27	19	4	False
23	19	4	False
24	19	4	False
25	19	4	False
28	19	4	False
26	19	4	False
17	20	4	False
20	0	4	False
5	1	4	False
5	0	4	False
19	15	4	False
18	15	4	False
27	15	4	False
14	7	4	False
15	7	4	False
16	7	4	False
19	16	4	False
