ref	query	dist	is_rc
1	6	1	False
3	4	1	False
4	3	1	False
6	1	1	False
0	9	1	False
2	7	1	False
4	5	1	False
5	4	1	False
7	2	1	False
9	0	1	False
4	11	1	False
11	4	1	False
3	14	1	False
5	12	1	False
12	5	1	False
14	3	1	False
8	13	1	False
13	8	1	False
11	14	1	False
14	11	1	False
8	18	1	False
18	8	1	False
13	16	1	False
16	13	1	False
16	18	1	False
18	16	1	False
17	19	1	False
19	17	1	False
15	23	1	False
23	15	1	False
19	22	1	False
22	19	1	False
20	22	1	False
22	20	1	False
3	5	2	False
5	3	2	False
3	11	2	False
11	3	2	False
4	12	2	False
5	11	2	False
11	5	2	False
12	4	2	False
4	14	2	False
14	4	2	False
8	16	2	False
16	8	2	False
13	18	2	False
18	13	2	False
17	22	2	False
19	20	2	False
20	19	2	False
22	17	2	False
3	12	3	False
12	3	3	False
5	14	3	False
14	5	3	False
11	12	3	False
12	11	3	False
17	20	3	False
20	17	3	False
23	24	3	False
24	23	3	False
12	14	4	False
14	12	4	False
15	24	4	False
24	15	4	False
2	10	5	False
10	2	5	False
1	13	5	False
13	1	5	False
6	16	5	False
16	6	5	False
1	8	6	False
8	1	6	False
1	16	6	False
7	10	6	False
10	7	6	False
16	1	6	False
6	13	6	False
13	6	6	False
6	18	6	False
18	6	6	False
19	21	6	False
21	19	6	False
20	21	6	False
21	20	6	False
6	8	7	False
8	6	7	False
1	18	7	False
18	1	7	False
17	21	7	False
21	17	7	False
21	22	7	False
22	21	7	False
9	12	17	False
12	9	17	False
1	10	18	False
1	10	18	False
0	12	18	False
12	0	18	False
5	9	18	False
9	5	18	False
8	7	18	False
8	7	18	False
13	2	18	False
13	2	18	False
0	5	19	False
5	0	19	False
8	2	19	False
8	2	19	False
0	11	19	False
11	0	19	False
4	9	19	False
9	4	19	False
6	10	19	False
6	10	19	False
16	2	19	False
16	2	19	False
13	7	19	False
13	7	19	False
18	7	19	False
18	7	19	False
7	20	19	False
20	7	19	False
5	24	19	False
24	5	19	False
10	21	19	False
21	10	19	False
0	4	20	False
4	0	20	False
3	9	20	False
9	3	20	False
0	14	20	False
14	0	20	False
2	17	20	False
17	2	20	False
9	11	20	False
11	9	20	False
18	2	20	False
18	2	20	False
2	19	20	False
19	2	20	False
2	20	20	False
20	2	20	False
16	7	20	False
16	7	20	False
3	24	20	False
24	3	20	False
4	24	20	False
24	4	20	False
7	22	20	False
22	7	20	False
12	24	20	False
24	12	20	False
0	3	21	False
3	0	21	False
9	14	21	False
14	9	21	False
2	22	21	False
7	17	21	False
17	7	21	False
22	2	21	False
7	19	21	False
19	7	21	False
11	24	21	False
24	11	21	False
14	24	21	False
24	14	21	False
7	15	22	False
15	7	22	False
5	23	22	False
23	5	22	False
1	2	23	False
1	2	23	False
2	15	23	False
15	2	23	False
5	15	23	False
15	5	23	False
1	21	23	False
1	21	23	False
13	10	23	False
13	10	23	False
3	23	23	False
11	15	23	False
15	11	23	False
23	3	23	False
4	23	23	False
23	4	23	False
8	20	23	False
8	20	23	False
14	15	23	False
15	14	23	False
7	23	23	False
23	7	23	False
11	22	23	False
22	11	23	False
12	23	23	False
23	12	23	False
1	7	24	False
1	7	24	False
6	2	24	False
6	2	24	False
3	15	24	False
8	10	24	False
8	10	24	False
15	3	24	False
4	15	24	False
15	4	24	False
2	21	24	False
21	2	24	False
2	23	24	False
5	20	24	False
10	15	24	False
15	10	24	False
20	5	24	False
23	2	24	False
4	22	24	False
16	10	24	False
16	10	24	False
22	4	24	False
6	21	24	False
6	21	24	False
12	15	24	False
15	12	24	False
8	22	24	False
8	22	24	False
11	19	24	False
19	11	24	False
7	24	24	False
11	20	24	False
14	17	24	False
17	14	24	False
20	11	24	False
24	7	24	False
13	19	24	False
13	19	24	False
13	20	24	False
13	20	24	False
11	23	24	False
23	11	24	False
14	22	24	False
22	14	24	False
14	23	24	False
23	14	24	False
18	20	24	False
18	20	24	False
6	7	25	False
6	7	25	False
3	17	25	False
17	3	25	False
4	19	25	False
19	4	25	False
4	20	25	False
20	4	25	False
3	22	25	False
22	3	25	False
2	24	25	False
24	2	25	False
5	22	25	False
8	19	25	False
8	19	25	False
10	17	25	False
17	10	25	False
22	5	25	False
7	21	25	False
11	17	25	False
17	11	25	False
18	10	25	False
18	10	25	False
21	7	25	False
10	19	25	False
19	10	25	False
10	20	25	False
13	17	25	False
13	17	25	False
20	10	25	False
12	20	25	False
20	12	25	False
10	23	25	False
14	19	25	False
19	14	25	False
23	10	25	False
14	20	25	False
20	14	25	False
13	22	25	False
13	22	25	False
16	19	25	False
16	19	25	False
16	20	25	False
16	20	25	False
18	22	25	False
18	22	25	False
4	17	26	False
17	4	26	False
3	19	26	False
19	3	26	False
3	20	26	False
20	3	26	False
5	19	26	False
19	5	26	False
8	17	26	False
8	17	26	False
5	21	26	False
21	5	26	False
10	22	26	False
11	21	26	False
21	11	26	False
22	10	26	False
16	17	26	False
16	17	26	False
10	24	26	False
12	22	26	False
22	12	26	False
24	10	26	False
18	19	26	False
18	19	26	False
16	22	26	False
16	22	26	False
5	17	27	False
17	5	27	False
4	21	27	False
21	4	27	False
12	19	27	False
19	12	27	False
12	21	27	False
21	12	27	False
14	21	27	False
18	17	27	False
18	17	27	False
21	14	27	False
3	21	28	False
21	3	28	False
12	17	28	False
17	12	28	False
9	24	28	False
24	9	28	False
13	21	28	False
13	21	28	False
1	19	29	False
1	19	29	False
1	20	29	False
1	20	29	False
0	24	29	False
24	0	29	False
8	21	29	False
8	21	29	False
16	21	29	False
16	21	29	False
1	17	30	False
1	17	30	False
1	22	30	False
1	22	30	False
6	19	30	False
6	19	30	False
6	20	30	False
6	20	30	False
18	21	30	False
18	21	30	False
0	15	31	False
15	0	31	False
6	17	31	False
6	17	31	False
6	22	31	False
6	22	31	False
9	23	31	False
23	9	31	False
0	23	32	False
23	0	32	False
9	15	32	False
15	9	32	False
8	15	34	False
8	15	34	False
0	20	35	False
20	0	35	False
13	15	35	False
13	15	35	False
8	23	35	False
8	23	35	False
18	15	35	False
18	15	35	False
1	15	36	False
1	15	36	False
0	22	36	False
22	0	36	False
9	20	36	False
20	9	36	False
16	15	36	False
16	15	36	False
8	24	36	False
8	24	36	False
13	23	36	False
13	23	36	False
18	23	36	False
18	23	36	False
0	19	37	False
19	0	37	False
0	21	37	False
6	15	37	False
6	15	37	False
21	0	37	False
1	23	37	False
1	23	37	False
9	22	37	False
22	9	37	False
13	24	37	False
13	24	37	False
16	23	37	False
16	23	37	False
18	24	37	False
18	24	37	False
0	17	38	False
17	0	38	False
1	24	38	False
1	24	38	False
9	19	38	False
19	9	38	False
6	23	38	False
6	23	38	False
9	21	38	False
21	9	38	False
16	24	38	False
16	24	38	False
9	17	39	False
17	9	39	False
6	24	39	False
6	24	39	False
8	5	41	False
8	5	41	False
8	11	41	False
8	11	41	False
15	20	41	False
20	15	41	False
8	4	42	False
8	4	42	False
13	5	42	False
13	5	42	False
8	12	42	False
8	12	42	False
8	14	42	False
8	14	42	False
18	5	42	False
18	5	42	False
13	11	42	False
13	11	42	False
18	11	42	False
18	11	42	False
15	22	42	False
22	15	42	False
20	23	42	False
23	20	42	False
1	5	43	False
1	5	43	False
8	3	43	False
8	3	43	False
1	11	43	False
1	11	43	False
5	7	43	False
7	5	43	False
13	4	43	False
13	4	43	False
7	11	43	False
11	7	43	False
7	14	43	False
14	7	43	False
16	5	43	False
16	5	43	False
18	4	43	False
18	4	43	False
13	12	43	False
13	12	43	False
13	14	43	False
13	14	43	False
16	11	43	False
16	11	43	False
18	12	43	False
18	12	43	False
15	17	43	False
17	15	43	False
18	14	43	False
18	14	43	False
15	19	43	False
19	15	43	False
15	21	43	False
21	15	43	False
20	24	43	False
24	20	43	False
22	23	43	False
23	22	43	False
1	4	44	False
1	4	44	False
2	5	44	False
5	2	44	False
8	0	44	False
8	0	44	False
3	7	44	False
7	3	44	False
4	7	44	False
6	5	44	False
6	5	44	False
7	4	44	False
1	12	44	False
1	12	44	False
2	11	44	False
11	2	44	False
1	14	44	False
1	14	44	False
2	14	44	False
13	3	44	False
13	3	44	False
14	2	44	False
6	11	44	False
6	11	44	False
7	12	44	False
12	7	44	False
16	4	44	False
16	4	44	False
18	3	44	False
18	3	44	False
16	12	44	False
16	12	44	False
16	14	44	False
16	14	44	False
17	23	44	False
23	17	44	False
19	23	44	False
23	19	44	False
21	23	44	False
23	21	44	False
22	24	44	False
24	22	44	False
1	3	45	False
1	3	45	False
2	3	45	False
3	2	45	False
2	4	45	False
4	2	45	False
0	7	45	False
7	0	45	False
6	4	45	False
6	4	45	False
13	0	45	False
13	0	45	False
2	12	45	False
12	2	45	False
5	10	45	False
10	5	45	False
8	9	45	False
8	9	45	False
6	12	45	False
6	12	45	False
18	0	45	False
18	0	45	False
16	3	45	False
16	3	45	False
6	14	45	False
6	14	45	False
10	11	45	False
11	10	45	False
10	14	45	False
14	10	45	False
17	24	45	False
24	17	45	False
19	24	45	False
24	19	45	False
21	24	45	False
24	21	45	False
1	0	46	False
1	0	46	False
0	2	46	False
2	0	46	False
6	3	46	False
6	3	46	False
3	10	46	False
10	3	46	False
4	10	46	False
10	4	46	False
7	9	46	False
9	7	46	False
16	0	46	False
16	0	46	False
10	12	46	False
12	10	46	False
13	9	46	False
13	9	46	False
18	9	46	False
18	9	46	False
6	0	47	False
6	0	47	False
0	10	47	False
1	9	47	False
1	9	47	False
10	0	47	False
2	9	47	False
9	2	47	False
16	9	47	False
16	9	47	False
6	9	48	False
6	9	48	False
9	10	48	False
10	9	48	False
17	19	75	True
19	17	75	True
19	22	75	True
22	19	75	True
17	22	76	True
19	20	76	True
20	19	76	True
22	17	76	True
17	20	77	True
20	17	77	True
20	22	77	True
22	20	77	True
2	7	78	True
7	2	78	True
19	21	78	True
21	19	78	True
2	10	79	True
10	2	79	True
8	7	79	True
8	7	79	True
7	10	79	True
10	7	79	True
17	21	79	True
21	17	79	True
21	22	79	True
22	21	79	True
0	9	80	True
9	0	80	True
8	2	80	True
8	2	80	True
13	2	80	True
13	2	80	True
13	7	80	True
13	7	80	True
2	19	80	True
8	13	80	True
13	8	80	True
19	2	80	True
6	17	80	True
6	17	80	True
18	7	80	True
18	7	80	True
8	18	80	True
18	8	80	True
13	16	80	True
16	13	80	True
16	18	80	True
18	16	80	True
20	21	80	True
21	20	80	True
0	2	81	True
2	0	81	True
1	2	81	True
1	2	81	True
0	7	81	True
7	0	81	True
1	7	81	True
1	7	81	True
1	8	81	True
8	1	81	True
2	9	81	True
9	2	81	True
3	10	81	True
10	3	81	True
1	13	81	True
13	1	81	True
4	11	81	True
11	4	81	True
7	9	81	True
9	7	81	True
1	17	81	True
1	17	81	True
3	15	81	True
8	10	81	True
8	10	81	True
15	3	81	True
16	2	81	True
16	2	81	True
2	17	81	True
17	2	81	True
18	2	81	True
18	2	81	True
0	21	81	True
21	0	81	True
6	16	81	True
7	15	81	True
15	7	81	True
16	6	81	True
13	10	81	True
13	10	81	True
16	7	81	True
16	7	81	True
2	22	81	True
8	16	81	True
10	14	81	True
14	10	81	True
16	8	81	True
22	2	81	True
6	19	81	True
6	19	81	True
7	19	81	True
19	7	81	True
10	17	81	True
17	10	81	True
14	15	81	True
15	14	81	True
13	17	81	True
13	17	81	True
13	18	81	True
18	13	81	True
11	21	81	True
15	17	81	True
17	15	81	True
21	11	81	True
11	22	81	True
16	17	81	True
16	17	81	True
22	11	81	True
18	17	81	True
18	17	81	True
15	24	81	True
24	15	81	True
23	24	81	True
24	23	81	True
2	3	82	True
3	2	82	True
3	4	82	True
4	3	82	True
6	2	82	True
6	2	82	True
4	5	82	True
5	4	82	True
3	7	82	True
7	3	82	True
1	10	82	True
1	10	82	True
6	7	82	True
6	7	82	True
3	11	82	True
4	10	82	True
6	8	82	True
8	6	82	True
10	4	82	True
11	3	82	True
5	10	82	True
10	5	82	True
2	14	82	True
4	12	82	True
5	11	82	True
11	5	82	True
12	4	82	True
14	2	82	True
1	16	82	True
2	15	82	True
15	2	82	True
16	1	82	True
4	14	82	True
14	4	82	True
1	18	82	True
4	15	82	True
6	13	82	True
13	6	82	True
15	4	82	True
18	1	82	True
0	20	82	True
1	19	82	True
1	19	82	True
5	15	82	True
15	5	82	True
20	0	82	True
7	14	82	True
10	11	82	True
11	10	82	True
14	7	82	True
2	20	82	True
10	12	82	True
12	10	82	True
20	2	82	True
0	23	82	True
8	15	82	True
8	15	82	True
11	12	82	True
12	11	82	True
23	0	82	True
0	24	82	True
6	18	82	True
7	17	82	True
17	7	82	True
18	6	82	True
24	0	82	True
4	21	82	True
8	17	82	True
8	17	82	True
11	14	82	True
14	11	82	True
21	4	82	True
2	24	82	True
3	23	82	True
4	22	82	True
6	20	82	True
6	20	82	True
11	15	82	True
15	11	82	True
16	10	82	True
16	10	82	True
22	4	82	True
23	3	82	True
24	2	82	True
3	24	82	True
7	20	82	True
12	15	82	True
15	12	82	True
20	7	82	True
24	3	82	True
6	22	82	True
6	22	82	True
18	10	82	True
18	10	82	True
7	22	82	True
8	21	82	True
8	21	82	True
10	19	82	True
19	10	82	True
22	7	82	True
7	23	82	True
9	21	82	True
10	20	82	True
11	19	82	True
19	11	82	True
20	10	82	True
21	9	82	True
23	7	82	True
7	24	82	True
11	20	82	True
20	11	82	True
24	7	82	True
8	24	82	True
8	24	82	True
9	23	82	True
10	22	82	True
13	19	82	True
13	19	82	True
22	10	82	True
23	9	82	True
9	24	82	True
24	9	82	True
10	24	82	True
15	19	82	True
19	15	82	True
24	10	82	True
14	21	82	True
15	20	82	True
16	19	82	True
16	19	82	True
20	15	82	True
21	14	82	True
14	22	82	True
22	14	82	True
13	24	82	True
13	24	82	True
14	23	82	True
15	22	82	True
18	19	82	True
18	19	82	True
22	15	82	True
23	14	82	True
14	24	82	True
24	14	82	True
17	23	82	True
23	17	82	True
17	24	82	True
24	17	82	True
0	4	83	True
4	0	83	True
2	4	83	True
4	2	83	True
1	6	83	True
2	5	83	True
5	2	83	True
6	1	83	True
3	5	83	True
5	3	83	True
0	10	83	True
10	0	83	True
0	11	83	True
4	7	83	True
7	4	83	True
11	0	83	True
1	11	83	True
1	11	83	True
5	7	83	True
7	5	83	True
2	11	83	True
4	9	83	True
8	5	83	True
8	5	83	True
9	4	83	True
11	2	83	True
2	12	83	True
12	2	83	True
0	15	83	True
1	14	83	True
1	14	83	True
3	12	83	True
12	3	83	True
15	0	83	True
6	10	83	True
6	10	83	True
0	17	83	True
3	14	83	True
5	12	83	True
12	5	83	True
14	3	83	True
17	0	83	True
7	11	83	True
11	7	83	True
13	5	83	True
13	5	83	True
5	14	83	True
7	12	83	True
9	10	83	True
10	9	83	True
12	7	83	True
14	5	83	True
8	12	83	True
8	12	83	True
9	11	83	True
11	9	83	True
1	20	83	True
1	20	83	True
16	5	83	True
16	5	83	True
0	22	83	True
1	21	83	True
1	21	83	True
22	0	83	True
1	22	83	True
1	22	83	True
4	19	83	True
18	5	83	True
18	5	83	True
19	4	83	True
3	21	83	True
4	20	83	True
9	15	83	True
15	9	83	True
20	4	83	True
21	3	83	True
2	23	83	True
3	22	83	True
10	15	83	True
13	12	83	True
13	12	83	True
15	10	83	True
22	3	83	True
23	2	83	True
5	21	83	True
12	14	83	True
14	12	83	True
21	5	83	True
4	23	83	True
5	22	83	True
6	21	83	True
6	21	83	True
8	19	83	True
8	19	83	True
22	5	83	True
23	4	83	True
4	24	83	True
5	23	83	True
8	20	83	True
8	20	83	True
9	19	83	True
11	17	83	True
13	15	83	True
13	15	83	True
16	12	83	True
16	12	83	True
17	11	83	True
19	9	83	True
23	5	83	True
24	4	83	True
5	24	83	True
9	20	83	True
20	9	83	True
24	5	83	True
18	12	83	True
18	12	83	True
8	23	83	True
8	23	83	True
9	22	83	True
10	21	83	True
21	10	83	True
22	9	83	True
10	23	83	True
14	19	83	True
18	15	83	True
18	15	83	True
19	14	83	True
23	10	83	True
11	23	83	True
13	21	83	True
13	21	83	True
14	20	83	True
20	14	83	True
23	11	83	True
11	24	83	True
12	23	83	True
13	22	83	True
13	22	83	True
23	12	83	True
24	11	83	True
12	24	83	True
16	20	83	True
16	20	83	True
24	12	83	True
15	23	83	True
16	22	83	True
16	22	83	True
18	20	83	True
18	20	83	True
23	15	83	True
18	21	83	True
18	21	83	True
16	24	83	True
16	24	83	True
18	22	83	True
18	22	83	True
18	24	83	True
18	24	83	True
19	23	83	True
23	19	83	True
19	24	83	True
20	23	83	True
23	20	83	True
24	19	83	True
20	24	83	True
24	20	83	True
22	23	83	True
23	22	83	True
22	24	83	True
24	22	83	True
0	3	84	True
3	0	84	True
1	3	84	True
1	3	84	True
0	5	84	True
1	4	84	True
1	4	84	True
5	0	84	True
8	0	84	True
8	0	84	True
0	12	84	True
3	9	84	True
8	4	84	True
8	4	84	True
9	3	84	True
12	0	84	True
13	0	84	True
13	0	84	True
0	14	84	True
5	9	84	True
9	5	84	True
14	0	84	True
1	15	84	True
1	15	84	True
16	0	84	True
16	0	84	True
6	11	84	True
6	11	84	True
13	4	84	True
13	4	84	True
18	0	84	True
18	0	84	True
0	19	84	True
8	11	84	True
8	11	84	True
19	0	84	True
6	14	84	True
6	14	84	True
16	4	84	True
16	4	84	True
4	17	84	True
9	12	84	True
12	9	84	True
17	4	84	True
3	19	84	True
8	14	84	True
8	14	84	True
18	4	84	True
18	4	84	True
19	3	84	True
2	21	84	True
3	20	84	True
9	14	84	True
14	9	84	True
20	3	84	True
21	2	84	True
5	19	84	True
13	11	84	True
13	11	84	True
19	5	84	True
1	24	84	True
1	24	84	True
5	20	84	True
20	5	84	True
9	17	84	True
17	9	84	True
13	14	84	True
13	14	84	True
16	11	84	True
16	11	84	True
7	21	84	True
21	7	84	True
18	11	84	True
18	11	84	True
6	24	84	True
6	24	84	True
8	22	84	True
8	22	84	True
14	17	84	True
16	15	84	True
16	15	84	True
17	14	84	True
12	21	84	True
13	20	84	True
13	20	84	True
21	12	84	True
12	22	84	True
22	12	84	True
13	23	84	True
13	23	84	True
15	21	84	True
21	15	84	True
16	21	84	True
16	21	84	True
16	23	84	True
16	23	84	True
18	23	84	True
18	23	84	True
1	0	85	True
1	0	85	True
1	5	85	True
1	5	85	True
6	3	85	True
6	3	85	True
6	4	85	True
6	4	85	True
6	5	85	True
6	5	85	True
8	3	85	True
8	3	85	True
1	12	85	True
1	12	85	True
13	3	85	True
13	3	85	True
8	9	85	True
8	9	85	True
6	12	85	True
6	12	85	True
16	3	85	True
16	3	85	True
3	17	85	True
17	3	85	True
6	15	85	True
6	15	85	True
18	3	85	True
18	3	85	True
5	17	85	True
13	9	85	True
13	9	85	True
17	5	85	True
1	23	85	True
1	23	85	True
16	9	85	True
16	9	85	True
18	9	85	True
18	9	85	True
6	23	85	True
6	23	85	True
12	17	85	True
17	12	85	True
16	14	85	True
16	14	85	True
12	19	85	True
19	12	85	True
12	20	85	True
18	14	85	True
18	14	85	True
20	12	85	True
21	23	85	True
23	21	85	True
21	24	85	True
24	21	85	True
6	0	86	True
6	0	86	True
1	9	86	True
